From	To
224308.BSU15920	P80643
224308.BSU03590	P39456
224308.BSU19940	O34642
224308.BSU15910	P51831
224308.BSU19170	O35046
224308.BSU05690	O05493
224308.BSU35220	O34375
224308.BSU24720	P25954
224308.BSU13560	O31663
224308.BSU34150	O32261
224308.BSU01350	P19946
224308.BSU32010	O32102
224308.BSU02480	P42237
224308.BSU39780	P46336
224308.BSU33990	O32255
224308.BSU36350	P94586
224308.BSU19930	O34702
224308.BSU05250	P96670
224308.BSU15900	P71019
224308.BSU32810	O32175
224308.BSU19130	O34636
224308.BSU33070	P07870
224308.BSU01340	P19947
224308.BSU13570	O31664
224308.BSU24750	P54505
224308.BSU36360	P94585
224308.BSU39790	P46335
224308.BSU05280	P96672
224308.BSU02470	P42236
224308.BSU34120	O07013
224308.BSU32800	O32174
224308.BSU02460	P42235
224308.BSU01330	P21467
224308.BSU19140	O31845
224308.BSU33080	O32197
224308.BSU24740	P40948
224308.BSU35240	O35002
224308.BSU19950	P02958
224308.BSU36370	P94584
224308.BSU13580	O31665
224308.BSU15000	O34658
224308.BSU05270	O31494
224308.BSU34130	O07012
224308.BSU19900	O31869
224308.BSU34100	O07015
224308.BSU25170	P54472
224308.BSU36380	P94583
224308.BSU01320	P46899
224308.BSU22470	P42981
224308.BSU19110	P94497
224308.BSU03550	Q08794
224308.BSU04600	P96616
224308.BSU13510	O31659
224308.BSU39730	P42415
224308.BSU34110	O07014
224308.BSU36390	P39753
224308.BSU25180	P54471
224308.BSU03560	Q08792
224308.BSU22460	P42982
224308.BSU05210	P96666
224308.BSU01310	P46898
224308.BSU04610	P96617
224308.BSU19120	O31844
224308.BSU39740	P42414
224308.BSU13520	O31660
224308.BSU24710	P25955
224308.BSU05240	P96669
224308.BSU22490	P42976
224308.BSU25190	P24469
224308.BSU13530	O31661
224308.BSU39750	P42413
224308.BSU04620	P96618
224308.BSU01300	P12879
224308.BSU24700	P25956
224308.BSU07500	O34832
224308.BSU05230	P96668
224308.BSU03580	O34927
224308.BSU39760	P42412
224308.BSU19910	O31870
224308.BSU35200	O34643
224308.BSU13540	P11742
224308.BSU19100	O34920
224308.BSU04630	P96619
224308.BSU22480	P42980
224308.BSU12170	O34681
224308.BSU25280	P42095
224308.BSU15730	P94463
224308.BSU26730	O07938
224308.BSU28960	P06569
224308.BSU22680	P03963
224308.BSU13740	O31677
224308.BSU38430	P25148
224308.BSU37300	P46909
224308.BSU09890	C0SPB4
224308.BSU07660	O34345
224308.BSU20300	O31898
224308.BSU05510	P96695
224308.BSU32770	O32171
224308.BSU12160	O34720
224308.BSU25270	P54380
224308.BSU15740	P94464
224308.BSU28970	P06568
224308.BSU22690	P19080
224308.BSU26720	O07920
224308.BSU13730	O31676
224308.BSU38420	P15401
224308.BSU07650	O34542
224308.BSU01500	P21470
224308.BSU20310	O31899
224308.BSU28980	P06567
224308.BSU31690	Q99027
224308.BSU15750	O34617
224308.BSU12150	O34960
224308.BSU25260	P54381
224308.BSU22660	P03964
224308.BSU38410	P15400
224308.BSU13720	O31675
224308.BSU12980	O34508
224308.BSU00290	P37538
224308.BSU26710	O07942
224308.BSU01510	P70976
224308.BSU07640	O35031
224308.BSU08300	P94439
224308.BSU32740	O32168
224308.BSU28990	P07908
224308.BSU15760	O34779
224308.BSU32750	O32169
224308.BSU25250	O34994
224308.BSU38400	P16396
224308.BSU06190	O34434
224308.BSU12990	O35010
224308.BSU12140	O35027
224308.BSU17990	P71031
224308.BSU00280	P37537
224308.BSU22670	P03947
224308.BSU26700	O07923
224308.BSU01520	P50862
224308.BSU13710	O31674
224308.BSU08310	P94440
224308.BSU05500	P96694
224308.BSU07630	O34453
224308.BSU17980	P71032
224308.BSU12960	P26906
224308.BSU22640	P07600
224308.BSU06180	P54617
224308.BSU24780	P54502
224308.BSU38470	P25152
224308.BSU25240	P54470
224308.BSU29380	O34406
224308.BSU32720	O32166
224308.BSU29390	O34350
224308.BSU06170	O34768
224308.BSU13700	O31673
224308.BSU19190	O34757
224308.BSU21510	O31991
224308.BSU05550	P96698
224308.BSU12970	O34851
224308.BSU25230	P17868
224308.BSU24790	P54501
224308.BSU26760	O07081
224308.BSU22650	P20167
224308.BSU29370	O34852
224308.BSU38460	P25151
224308.BSU15700	O35033
224308.BSU17970	Q45058
224308.BSU32730	O32167
224308.BSU21520	O31992
224308.BSU19180	O34653
224308.BSU06160	O34368
224308.BSU07690	O34484
224308.BSU24760	P54504
224308.BSU14300	O31705
224308.BSU25220	Q7WY63
224308.BSU17960	P45711
224308.BSU15710	P94461
224308.BSU12190	C0SPC3
224308.BSU38450	P25150
224308.BSU05530	P96696
224308.BSU32700	O32165
224308.BSU12940	P26904
224308.BSU07680	O34306
224308.BSU22620	P17731
224308.BSU06150	Q06004
224308.BSU26740	O08469
224308.BSU22630	P07601
224308.BSU25210	P05096
224308.BSU24770	P54503
224308.BSU12950	P26905
224308.BSU14310	O31706
224308.BSU15720	P94462
224308.BSU17950	P45710
224308.BSU38440	P25149
224308.BSU12180	O34725
224308.BSU32710	P80866
224308.BSU05540	P96697
224308.BSU07670	O34905
224308.BSU06140	P39143
224308.BSU21500	O31990
224308.BSU03700	P49939
224308.BSU22600	P20691
224308.BSU08360	O31559
224308.BSU12920	P26902
224308.BSU09810	O07541
224308.BSU31630	O05229
224308.BSU20380	O31906
224308.BSU10180	O07601
224308.BSU29340	O34900
224308.BSU17940	P45709
224308.BSU37380	P71010
224308.BSU16490	P21464
224308.BSU18540	O34864
224308.BSU27430	O34677
224308.BSU14320	O31707
224308.BSU21550	O31995
224308.BSU23690	P54562
224308.BSU25200	P06224
224308.BSU22610	P20692
224308.BSU12930	P26903
224308.BSU11400	P42063
224308.BSU08370	O31560
224308.BSU31640	Q7WY60
224308.BSU00220	P37533
224308.BSU17930	P45706
224308.BSU37370	P71011
224308.BSU20390	O31907
224308.BSU27440	O34563
224308.BSU29330	O34846
224308.BSU18550	O34861
224308.BSU08380	O31561
224308.BSU16480	P40405
224308.BSU14330	O31708
224308.BSU29590	O34874
224308.BSU21560	O31996
224308.BSU06110	O34303
224308.BSU12900	O34358
224308.BSU31610	O05259
224308.BSU27450	O34671
224308.BSU18520	P28671
224308.BSU26790	P17585
224308.BSU37360	Q7WY57
224308.BSU20360	O31904
224308.BSU17920	O31819
224308.BSU00210	P24277
224308.BSU29360	O34315
224308.BSU10160	P32399
224308.BSU23670	P54564
224308.BSU28900	P94516
224308.BSU16470	P10726
224308.BSU21530	O31993
224308.BSU14340	O31709
224308.BSU08390	O31562
224308.BSU29580	O34595
224308.BSU06100	O34885
224308.BSU12910	Q00777
224308.BSU09840	Q796V8
224308.BSU14350	O31710
224308.BSU27460	O34606
224308.BSU37350	O07623
224308.BSU29350	O34931
224308.BSU10170	O07600
224308.BSU20370	O31905
224308.BSU00200	P24281
224308.BSU17910	P45708
224308.BSU26780	O07079
224308.BSU28910	P94515
224308.BSU16460	P40404
224308.BSU23680	P54563
224308.BSU29570	P04831
224308.BSU18530	O34569
224308.BSU09850	O07536
224308.BSU08320	P94441
224308.BSU00270	P37536
224308.BSU21590	O31999
224308.BSU29300	P94465
224308.BSU40300	O32294
224308.BSU11430	P24141
224308.BSU28920	P94514
224308.BSU29560	C0SPB0
224308.BSU18580	O31829
224308.BSU10140	P32397
224308.BSU12130	O34458
224308.BSU17900	P45707
224308.BSU15770	O34507
224308.BSU37340	O07624
224308.BSU31670	P14205
224308.BSU20340	O31902
224308.BSU14360	O31711
224308.BSU09860	O07535
224308.BSU08330	P94442
224308.BSU11440	P24138
224308.BSU27400	Q7WY61
224308.BSU15780	O34530
224308.BSU12120	O34438
224308.BSU10150	P32398
224308.BSU37330	P46906
224308.BSU28930	P94513
224308.BSU29550	O34355
224308.BSU31680	P14204
224308.BSU00260	P37535
224308.BSU20350	O31903
224308.BSU14370	O31712
224308.BSU02600	P42249
224308.BSU08340	P94443
224308.BSU09870	O07534
224308.BSU37320	P46907
224308.BSU12110	O34554
224308.BSU29540	O34934
224308.BSU15790	O34557
224308.BSU27410	O34526
224308.BSU10120	P32395
224308.BSU18560	O34815
224308.BSU21570	O31997
224308.BSU28940	P94512
224308.BSU11410	O31597
224308.BSU14380	O31713
224308.BSU29320	O34639
224308.BSU00250	P37467
224308.BSU32780	O32172
224308.BSU31650	O05228
224308.BSU02619	C0H3T2
224308.BSU08350	Q79F14
224308.BSU09880	O07533
224308.BSU10130	P32396
224308.BSU29530	O34525
224308.BSU37310	P46908
224308.BSU18570	C0SP82
224308.BSU12100	O34798
224308.BSU11420	P21656
224308.BSU02610	P42250
224308.BSU27420	O34472
224308.BSU28950	P18255
224308.BSU21580	O31998
224308.BSU32790	O32173
224308.BSU20330	O31901
224308.BSU29310	O34974
224308.BSU00240	P37534
224308.BSU14390	O31714
224308.BSU31660	O05227
224308.BSU04780	O31489
224308.BSU04030	P42961
224308.BSU29510	O34917
224308.BSU35190	O34796
224308.BSU16400	Q01960
224308.BSU39020	P42312
224308.BSU11360	P42064
224308.BSU03652	C0SPB5
224308.BSU10230	O07606
224308.BSU34080	O07017
224308.BSU03651	C0H3U9
224308.BSU02510	P42240
224308.BSU40350	P38022
224308.BSU30020	O32067
224308.BSU33820	O34878
224308.BSU04020	O31482
224308.BSU04790	P96628
224308.BSU39010	P42313
224308.BSU29520	O34424
224308.BSU16410	P40742
224308.BSU30035	O32068
224308.BSU11350	O31596
224308.BSU39840	P46331
224308.BSU02500	P42239
224308.BSU03660	P94407
224308.BSU34090	O07016
224308.BSU23730	P54559
224308.BSU10220	O07605
224308.BSU40340	P38021
224308.BSU33810	O32243
224308.BSU39040	P42310
224308.BSU35170	P37954
224308.BSU04010	P42959
224308.BSU02530	O31466
224308.BSU10210	O07604
224308.BSU04760	P96624
224308.BSU39810	P46333
224308.BSU40330	P39137
224308.BSU03630	P94404
224308.BSU11340	O34340
224308.BSU30000	O35029
224308.BSU17090	O34769
224308.BSU23720	O32014
224308.BSU33800	O34742
224308.BSU29500	O34806
224308.BSU35180	P37953
224308.BSU19200	O34723
224308.BSU40320	P39138
224308.BSU39820	P46208
224308.BSU03640	P94405
224308.BSU04770	P96625
224308.BSU10200	O07603
224308.BSU21490	O31989
224308.BSU04000	P42958
224308.BSU02520	P42242
224308.BSU11330	O34746
224308.BSU30010	O34977
224308.BSU23710	P54560
224308.BSU17080	O34381
224308.BSU34040	O07021
224308.BSU16440	P39802
224308.BSU23780	P54554
224308.BSU03610	P42199
224308.BSU02550	P42244
224308.BSU36200	P96721
224308.BSU35150	O34366
224308.BSU33860	O32245
224308.BSU18510	P28670
224308.BSU00300	P37539
224308.BSU04070	P42966
224308.BSU34990	O34752
224308.BSU27480	O34481
224308.BSU31600	Q9K2S2
224308.BSU17070	O31780
224308.BSU30060	Q795R8
224308.BSU40390	Q794W0
224308.BSU02540	P42243
224308.BSU16450	P40403
224308.BSU23770	P54555
224308.BSU34050	O07020
224308.BSU03620	P94403
224308.BSU17050	P49850
224308.BSU36210	P96720
224308.BSU08290	P94438
224308.BSU39800	P46334
224308.BSU27470	O34402
224308.BSU35160	O34863
224308.BSU33850	O32244
224308.BSU34980	O34382
224308.BSU18500	P14802
224308.BSU11390	P42062
224308.BSU04060	P42964
224308.BSU01490	P70974
224308.BSU00310	P37540
224308.BSU30070	P54417
224308.BSU40380	Q45612
224308.BSU17040	P49849
224308.BSU23760	P54556
224308.BSU02570	P42246
224308.BSU34060	O07019
224308.BSU20290	O31897
224308.BSU39000	P42314
224308.BSU05180	P96663
224308.BSU04050	P42963
224308.BSU16420	Q05522
224308.BSU34970	Q9JMQ2
224308.BSU37390	P71009
224308.BSU33840	O34709
224308.BSU05190	P96664
224308.BSU09800	O07542
224308.BSU40370	C0SP91
224308.BSU23750	P54557
224308.BSU17030	P14016
224308.BSU03600	P42200
224308.BSU34070	Q795K2
224308.BSU02560	P42245
224308.BSU11370	P42065
224308.BSU16430	P29072
224308.BSU05170	P96662
224308.BSU27490	O34452
224308.BSU20280	O31896
224308.BSU35140	O34604
224308.BSU34960	O34993
224308.BSU04040	P42962
224308.BSU33830	O34992
224308.BSU40360	P39668
224308.BSU30050	O34674
224308.BSU36240	P96717
224308.BSU13690	P28611
224308.BSU34950	O34310
224308.BSU05160	P96661
224308.BSU34000	O32256
224308.BSU17020	O31779
224308.BSU24870	P54493
224308.BSU01460	P70970
224308.BSU04700	P40399
224308.BSU19250	O34976
224308.BSU35110	O34719
224308.BSU05590	P96702
224308.BSU19270	O31846
224308.BSU34940	O34735
224308.BSU36250	P96716
224308.BSU34010	O32257
224308.BSU05150	P96660
224308.BSU33890	O32248
224308.BSU04710	P17903
224308.BSU19260	O34321
224308.BSU01450	P40735
224308.BSU25990	P45934
224308.BSU17010	O31778
224308.BSU24860	P54494
224308.BSU35120	O34628
224308.BSU19280	O34855
224308.BSU05580	P96701
224308.BSU34930	O34459
224308.BSU15800	O34664
224308.BSU34020	O32258
224308.BSU39890	P46326
224308.BSU01480	P70973
224308.BSU38480	P39583
224308.BSU33880	O32247
224308.BSU13670	O31672
224308.BSU24850	P54495
224308.BSU36220	P96719
224308.BSU25980	P45935
224308.BSU17000	O31777
224308.BSU19290	O31847
224308.BSU05570	P96700
224308.BSU34920	O34520
224308.BSU04090	Q7WY77
224308.BSU04080	P60495
224308.BSU34030	O32259
224308.BSU33870	O32246
224308.BSU38490	P39582
224308.BSU05130	P96659
224308.BSU36230	P96718
224308.BSU35100	O34648
224308.BSU13680	P28612
224308.BSU24840	P54496
224308.BSU25970	P45936
224308.BSU01470	P70972
224308.BSU07610	P55069
224308.BSU34910	O34651
224308.BSU39070	P04957
224308.BSU26800	O05413
224308.BSU23700	P54561
224308.BSU01420	P04969
224308.BSU24830	P54497
224308.BSU13650	P06630
224308.BSU19210	O34669
224308.BSU04740	P17906
224308.BSU03690	O31479
224308.BSU39060	P42308
224308.BSU05120	P39158
224308.BSU36280	P94593
224308.BSU39870	P46328
224308.BSU34900	O34683
224308.BSU07620	O34409
224308.BSU24820	P54498
224308.BSU01410	P20282
224308.BSU26810	O05412
224308.BSU19220	O34748
224308.BSU04750	P96623
224308.BSU13660	O31671
224308.BSU05110	P96658
224308.BSU39050	P42234
224308.BSU39880	P46327
224308.BSU36290	P94592
224308.BSU39090	P42307
224308.BSU24810	P54499
224308.BSU22590	P54389
224308.BSU05100	P96657
224308.BSU03670	P94408
224308.BSU13630	O31670
224308.BSU19230	O35022
224308.BSU04720	P17904
224308.BSU39850	P46330
224308.BSU01440	P20277
224308.BSU25290	P42182
224308.BSU36260	P96715
224308.BSU39080	P39805
224308.BSU07600	O34439
224308.BSU01430	P20429
224308.BSU22580	P54390
224308.BSU04730	P06574
224308.BSU19240	P80872
224308.BSU39860	P46329
224308.BSU13640	P05043
224308.BSU36270	P96714
224308.BSU03680	P94409
224308.BSU12820	O34800
224308.BSU07320	O06481
224308.BSU06270	O34759
224308.BSU13800	O31683
224308.BSU29290	O34980
224308.BSU20600	O34326
224308.BSU28660	P94537
224308.BSU19730	O34317
224308.BSU28150	P16616
224308.BSU24880	P54492
224308.BSU25340	P46343
224308.BSU15260	Q45544
224308.BSU22740	P31114
224308.BSU32170	O32114
224308.BSU12830	O34853
224308.BSU07310	O31542
224308.BSU11700	O31619
224308.BSU06260	O34353
224308.BSU29280	O34430
224308.BSU30920	O34656
224308.BSU20610	O34359
224308.BSU28670	P94536
224308.BSU32160	O32113
224308.BSU29270	O34921
224308.BSU28140	P21248
224308.BSU03390	P42401
224308.BSU15250	C0SPA3
224308.BSU22750	P31113
224308.BSU24890	P54491
224308.BSU25330	P46344
224308.BSU19740	O34662
224308.BSU13820	O31685
224308.BSU04910	O31491
224308.BSU09570	O07587
224308.BSU11710	O31620
224308.BSU07340	Q797A7
224308.BSU20620	O34339
224308.BSU30950	P39125
224308.BSU25360	P54468
224308.BSU29260	O34922
224308.BSU28130	P30950
224308.BSU32150	P21340
224308.BSU15280	P28264
224308.BSU19750	P42093
224308.BSU12840	O34436
224308.BSU28640	P17921
224308.BSU22760	P31112
224308.BSU26410	P54445
224308.BSU06280	O34592
224308.BSU13810	O31684
224308.BSU04900	P96638
224308.BSU11720	P54616
224308.BSU07330	O06480
224308.BSU20630	O34999
224308.BSU30940	P39123
224308.BSU29250	O34600
224308.BSU25350	P54469
224308.BSU28120	P30949
224308.BSU28650	P94538
224308.BSU32140	P21341
224308.BSU19760	P42092
224308.BSU05400	P96684
224308.BSU12850	O34454
224308.BSU09590	O07589
224308.BSU26400	P54446
224308.BSU06290	O34803
224308.BSU22770	P19466
224308.BSU08425	C0H3X7
224308.BSU30970	P39122
224308.BSU06900	Q45537
224308.BSU05850	O05509
224308.BSU20640	O35030
224308.BSU09550	O07585
224308.BSU13840	O31687
224308.BSU28620	P94541
224308.BSU12860	O34739
224308.BSU22780	P19465
224308.BSU19770	P42091
224308.BSU05410	P96685
224308.BSU34430	P32960
224308.BSU28110	P37963
224308.BSU23390	P31845
224308.BSU31570	O05255
224308.BSU38770	P94363
224308.BSU25380	P54466
224308.BSU30960	P39124
224308.BSU06910	Q45538
224308.BSU05860	O05510
224308.BSU09560	O07586
224308.BSU13830	O31686
224308.BSU38760	P94364
224308.BSU19780	P42089
224308.BSU27500	O35020
224308.BSU22790	P08821
224308.BSU15290	P17865
224308.BSU28630	P17922
224308.BSU05420	P96686
224308.BSU12870	O34689
224308.BSU31580	O05256
224308.BSU28100	P37964
224308.BSU20650	O34584
224308.BSU25370	P54467
224308.BSU05870	O05511
224308.BSU07300	O06483
224308.BSU06920	O31513
224308.BSU08400	O31563
224308.BSU09530	P80874
224308.BSU41000	P25813
224308.BSU05430	P96687
224308.BSU32190	O32116
224308.BSU13860	O31689
224308.BSU19790	P42090
224308.BSU28600	P94543
224308.BSU12880	O34575
224308.BSU30990	O32074
224308.BSU20660	O34429
224308.BSU34410	O07005
224308.BSU31590	O05257
